ID,Genotype,Energy,Age,Parent,Iteration
208,11011101001001001001,12.155775,0,7,2
209,11011101001001001001,12.155775,0,7,2
210,01011101100000101011,9.357939,0,19,2
211,01011101100000101011,9.357939,0,19,2
212,10010110100011101110,10.389058,0,24,2
213,10010110100011101110,10.389058,0,24,2
214,11111000100001001001,12.972797,0,25,2
215,11111000100001001001,12.972797,0,25,2
216,10100100101001001111,9.323915,0,27,2
217,10100100101001001111,9.323915,0,27,2
218,10011010100100111000,8.366640,0,35,2
219,10011010100100111000,8.366640,0,35,2
220,11000011110110000010,10.559171,0,37,2
221,01000011110110000010,10.559171,0,37,2
222,00110111101000000101,10.222946,0,45,2
223,00110111101000000101,10.222946,0,45,2
224,00111101011111100011,8.926064,0,46,2
225,00111101011111100011,8.926064,0,46,2
226,11011001001101111011,9.951981,0,49,2
227,11011001001101111011,9.951981,0,49,2
228,01010111100000111111,10.570374,0,50,2
229,01010111100000111111,10.570374,0,50,2
230,01011101000110011001,10.201017,0,58,2
231,01011101000110011001,10.201017,0,58,2
232,10011100000001010010,11.559417,0,60,2
233,10011100000001010011,11.559417,0,60,2
234,11111011100001000111,8.833393,0,61,2
235,11111011100001000011,8.833393,0,61,2
236,10100000110001001001,13.456670,0,63,2
237,10100000110001001001,13.456670,0,63,2
238,10000111011110000001,8.862036,0,64,2
239,10000111011110000111,8.862036,0,64,2
240,01110001100111101111,8.474125,0,67,2
241,01110001100111101110,8.474125,0,67,2
242,11101111001110100001,8.639365,0,72,2
243,11101111001110100001,8.639365,0,72,2
244,01100101001111100110,10.043858,0,76,2
245,01100101001111100110,10.043858,0,76,2
246,01100011111101111111,9.206392,0,77,2
247,01100001111101111111,9.206392,0,77,2
248,11010111000011010011,11.491558,0,80,2
249,11010111000011010011,11.491558,0,80,2
250,11001010111000111111,9.631767,0,84,2
251,11001010111000111111,9.631767,0,84,2
252,10100101111111011000,8.650219,0,87,2
253,10100101101111011000,8.650219,0,87,2
254,11110011010101000100,10.314957,0,90,2
255,11110011010101000100,10.314957,0,90,2
256,10000110111110110001,10.013126,0,92,2
257,10000110111110110001,10.013126,0,92,2
258,01110011001101010010,12.147198,0,95,2
259,01110011001101010010,12.147198,0,95,2
260,01111100001011100011,7.757997,0,101,2
261,01111100001011100001,7.757997,0,101,2
262,01000111100001101100,8.493759,0,105,2
263,01000111100001101100,8.493759,0,105,2
264,01000111100001101100,10.068974,0,106,2
265,01000111100001101100,10.068974,0,106,2
266,01011011001100000001,12.966410,0,109,2
267,01011011001100000001,12.966410,0,109,2
268,01011011001100000001,9.296078,0,110,2
269,01011011001100000001,9.296078,0,110,2
270,00001100011100000100,9.506667,0,111,2
271,00001100011100000100,9.506667,0,111,2
272,10001100011100000100,8.975367,0,112,2
273,10001100011100000100,8.975367,0,112,2
274,00010010011000111100,8.335938,0,113,2
275,00010010111000111100,8.335938,0,113,2
276,01010010111000111100,9.807913,0,114,2
277,00010010111000111100,9.807913,0,114,2
278,01111011011000101100,7.646025,0,115,2
279,01111011011000101100,7.646025,0,115,2
280,01111011010000101100,8.100746,0,116,2
281,01111011010000101100,8.100746,0,116,2
282,00100110110001110001,9.020309,0,117,2
283,00000110110001111001,9.020309,0,117,2
284,00100110110001111000,9.018005,0,118,2
285,00100110110001111000,9.018005,0,118,2
286,10001110100000111011,7.654235,0,119,2
287,10001110100000110011,7.654235,0,119,2
288,10111000000010111011,9.286345,0,121,2
289,10111000000010111011,9.286345,0,121,2
290,10111000000010111011,7.781046,0,122,2
291,10111000000010111011,7.781046,0,122,2
292,00110111011101111011,9.123697,0,123,2
293,00110111011101111011,9.123697,0,123,2
294,00110111011101111011,8.691819,0,124,2
295,00110111011101111011,8.691819,0,124,2
296,00000111001101001010,9.641654,0,125,2
297,00000111001101001010,9.641654,0,125,2
298,00000111001101001010,9.180400,0,126,2
299,00000011001101001010,9.180400,0,126,2
300,00100010011100101011,10.731616,0,127,2
301,00100010011100101011,10.731616,0,127,2
302,00100010011100101011,9.780335,0,128,2
303,00100010011100101011,9.780335,0,128,2
304,00001101101000011100,9.498516,0,129,2
305,00001101101000011100,9.498516,0,129,2
306,00001101101000011100,9.984980,0,130,2
307,00001101101000011100,9.984980,0,130,2
308,01000011101000001110,8.634617,0,131,2
309,01000010101000001110,8.634617,0,131,2
310,01000010101000001110,8.543485,0,132,2
311,01000011101000001110,8.543485,0,132,2
312,11101111100011000010,8.168352,0,133,2
313,11101111100011000010,8.168352,0,133,2
314,11101111100011000010,7.549778,0,134,2
315,11101111100011000010,7.549778,0,134,2
316,01111011110010000001,7.632116,0,135,2
317,01111011110010000001,7.632116,0,135,2
318,00010100101000010001,10.356677,0,141,2
319,00010100101000010001,10.356677,0,141,2
320,00110100101000010001,10.449677,0,142,2
321,00110100101000010001,10.449677,0,142,2
322,10000110111100010100,8.962654,0,143,2
323,10000110011100010100,8.962654,0,143,2
324,11110000000001110011,8.506039,0,147,2
325,11110000000001110011,8.506039,0,147,2
326,11110000000001110011,9.912373,0,148,2
327,11110000000001110011,9.912373,0,148,2
328,10110101000110001001,8.455116,0,149,2
329,10110101000110001001,8.455116,0,149,2
330,10110101000110001001,7.923770,0,150,2
331,10110101000110001001,7.923770,0,150,2
332,01001100000111101001,9.413392,0,151,2
333,01000100000111101001,9.413392,0,151,2
334,01000100000111101001,11.468960,0,152,2
335,01000100000111101001,11.468960,0,152,2
336,00101000101111100110,7.870550,0,153,2
337,00101000101111100110,7.870550,0,153,2
338,00101000101111100100,8.186414,0,154,2
339,00101000101111100100,8.186414,0,154,2
340,10101001100011011100,8.606005,0,155,2
341,10101001100011011100,8.606005,0,155,2
342,10101001100011011100,8.056422,0,156,2
343,10101001100011011100,8.056422,0,156,2
344,00010010110101010100,9.330894,0,157,2
345,00010010110101010100,9.330894,0,157,2
346,00010010110101010100,7.837159,0,158,2
347,00010010100001010100,7.837159,0,158,2
348,00100010101110111100,9.290924,0,159,2
349,00100010101110111100,9.290924,0,159,2
350,00100010101110111100,10.303790,0,160,2
351,00100010101110111101,10.303790,0,160,2
352,10101001010101010000,8.061613,0,161,2
353,10101001010101110000,8.061613,0,161,2
354,10101001010101110000,9.586921,0,162,2
355,10101001010101110100,9.586921,0,162,2
356,11101111011010101110,7.813544,0,163,2
357,11101111011010101110,7.813544,0,163,2
358,01101111110000010100,9.638592,0,165,2
359,01100111110000010100,9.638592,0,165,2
360,01100111110000010100,9.173314,0,166,2
361,01100111110000010100,9.173314,0,166,2
362,11110000000000110111,7.940100,0,167,2
363,11110000000000110111,7.940100,0,167,2
364,00000010111110101011,8.592914,0,169,2
